"id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","matSize","HRO2","LifetimeE","LifetimeN","centroid","strength2"
"STO98",2001,101,0.382068131679657,0.522464463709075,36,4,3,0,2016,1998,-0.065548202717533,0.717415742626393,1362.76918974938,8039.10156246029,4700.93537610483,"mean"
"STO98",2002,117,1.40692106803877,0.72708034155041,37,5,4,0,2016,1998,-0.065548202717533,0.667636074892341,1362.51685469029,8035.59426434637,4699.05555951833,"3rd Qu."
"STO98",2003,130,1.00666130615548,0.742753242852094,36,6,5,0,2016,1998,0.827943803257389,0.744026845448517,1364.48657290417,8036.45431907047,4700.47044598732,"3rd Qu."
"STO98",2004,96,0.776915239349271,0.60412421377268,39,7,6,0,2016,1998,0.381197800269928,0.730197799816534,1363.3659106287,8037.64020886488,4700.50305974679,"3rd Qu."
"STO98",2005,129,1.01013027074201,0.599992821193414,36,8,7,0,2016,1998,-0.512294205704994,0.691128963995598,1363.34130464131,8035.49578334365,4699.41854399248,"3rd Qu."
"STO98",2006,118,1.20473733455104,0.850478790197291,38,9,8,0,2016,1998,0.0833671316116207,0.729873287721071,1363.19168746307,8036.39670033988,4699.79419390148,"3rd Qu."
"STO98",2007,115,1.34319988908074,0.84980183243022,46,10,9,0,2016,1998,0.0833671316116207,0.706710134466623,1364.72518789892,8038.00536260197,4701.36527525044,"3rd Qu."
"STO98",2008,96,-0.0550775363592975,0.45756938924132,47,11,10,0,2016,1998,-0.661209540034148,0.680711967764187,1364.36460272401,8037.07576537747,4700.72018405074,"mean"
"STO98",2009,100,-0.0756006401554447,0.434776138738856,41,12,11,0,2016,1998,-0.959040208692455,0.714955632463605,1362.32059683379,8038.30891936878,4700.31475810128,"mean"
"STO98",2010,114,-0.00356774724800428,0.360699591359417,39,13,12,0,2016,1998,-0.661209540034148,0.725717840710862,1364.04420447155,8038.53081116641,4701.28750781898,"mean"
"STO98",2011,82,-0.35422573549316,0.489595415851368,36,14,13,0,2016,1998,-0.512294205704994,0.710267869554735,1364.14829960652,8039.16907086206,4701.65868523429,"mean"
"STO98",2012,98,-0.0115685038843909,0.330101012344231,34,15,14,0,2016,1998,-0.214463537046687,0.707249237299827,1363.14976399493,8036.69239811966,4699.92108105729,"mean"
"STO98",2013,109,0.297571251629059,0.611011194151065,41,16,15,0,2016,1998,0.232282465940774,0.723981422040496,1364.28575072531,8037.40307363489,4700.8444121801,"mean"
"STO98",2014,97,-0.106323095690807,0.420977025883826,37,17,16,0,2016,1998,0.0833671316116207,0.749270613679701,1362.73903691181,8038.5820715159,4700.66055421386,"mean"
"STO98",2015,100,0.136140475038158,0.569908441820557,30,18,17,0,2016,1998,-0.36337887137584,0.690334781782662,1361.19495701998,8037.04670025614,4699.12082863806,"mean"
"STO98",2016,59,-1.45570883926311,0.181433369742382,20,18.5,18,1,2016,1998,-0.065548202717533,0.672109422053488,1359.8250829157,8039.42146685094,4699.62327488332,"1st Qu."
"STR00",2003,48,-0.311743081050597,0.143123876737528,19,4,3,0,2008,2000,0.976859137586543,0.52254611682374,1379.73005316691,8041.93167080746,4710.83086198718,"mean"
"STR00",2004,50,0.387997311712019,0.0298837573261223,21,5,4,0,2008,2000,0.232282465940774,0.491128422235008,1377.69592253824,8042.81893257103,4710.25742755463,"mean"
"STR00",2005,60,-0.103580967766139,0.0381054868130719,19,6,5,0,2008,2000,0.232282465940774,0.535043571718732,1378.07642070078,8041.20380617984,4709.64011344031,"mean"
"STR00",2006,62,0.529518898806351,0.134737016699822,21,7,6,0,2008,2000,0.0833671316116207,0.507741176171245,1378.43669693611,8042.24407446812,4710.34038570212,"3rd Qu."
"STR00",2007,49,-0.049413734656447,0.0327887445490257,19,8,7,0,2008,2000,0.530113134599082,0.477176897629851,1379.47669923835,8040.78872873064,4710.1327139845,"mean"
"STR00",2008,49,-0.941965888662245,0.0569374594597943,20,8.5,8,1,2008,2000,-0.065548202717533,0.489318193780754,1375.64670896777,8045.93473598864,4710.7907224782,"mean"
"STR96",1999,56,-0.0678751921932871,0.0381893101286727,20,4,3,0,2013,1996,-0.512294205704994,0.534610416854332,1376.4804349336,8043.82911793026,4710.15477643193,"mean"
"STR96",2000,59,1.31209872275207,0.0391290825323653,16,5,4,0,2013,1996,-0.065548202717533,0.487611620445565,1378.79772814492,8040.90958640199,4709.85365727346,"3rd Qu."
"STR96",2001,66,0.386474708242968,0.101568818835404,20,6,5,0,2013,1996,0.679028468928235,0.497418187223393,1377.79211658543,8043.51166134629,4710.65188896586,"mean"
"STR96",2002,61,0.618159854153154,0.0902851230815786,17,7,6,0,2013,1996,-0.214463537046687,0.486555775167051,1378.03555478039,8041.65328955363,4709.84442216701,"3rd Qu."
"STR96",2003,65,0.488906424417083,0.218825891466322,19,8,7,0,2013,1996,0.976859137586543,0.552885358330771,1378.24123447905,8043.25379530906,4710.74751489405,"3rd Qu."
"STR96",2004,50,-0.0635488720180971,0.0278441342638571,21,9,8,0,2013,1996,0.232282465940774,0.534213121036276,1377.90281067693,8041.70631331807,4709.8045619975,"mean"
"STR96",2005,60,-0.831593880680278,0.0263989678628304,19,10,9,0,2013,1996,0.232282465940774,0.505735362163653,1379.77300469076,8042.79613181222,4711.28456825149,"mean"
"STR96",2006,56,0.171254758560891,0.122270877488214,21,11,10,0,2013,1996,0.0833671316116207,0.497473201578273,1376.09140858878,8043.43225200123,4709.761830295,"mean"
"STR96",2007,54,-0.432671602600481,0.0346546465578267,19,12,11,0,2013,1996,0.530113134599082,0.543363376768768,1377.07705039086,8043.04810507191,4710.06257773139,"mean"
"STR96",2008,52,-0.306430956812872,0.0461404300611026,20,13,12,0,2013,1996,-0.065548202717533,0.449338204424312,1378.73828772898,8043.526393791,4711.13234075999,"mean"
"STR96",2009,45,-0.804424142810344,0.0429146744006995,17,14,13,0,2013,1996,0.232282465940774,0.463851941176161,1378.52642537146,8044.71542079867,4711.62092308506,"mean"
"STR96",2010,62,-0.332801200161853,0.127093219228447,14,15,14,0,2013,1996,0.530113134599082,0.503056607312084,1377.8466714767,8043.24362596287,4710.54514871979,"mean"
"STR96",2011,45,-0.652158735824216,0.0783762251142898,12,16,15,0,2013,1996,0.0833671316116207,0.508679014475543,1377.51407844844,8041.78025027381,4709.64716436113,"mean"
"STR96",2012,34,-1.02439536670801,0.0155613948364478,11,17,16,0,2013,1996,0.679028468928235,0.435125069256614,1381.10568067612,8041.29081015956,4711.19824541784,"mean"
"STR96",2013,27,-1.93890595644081,0.0235621574075393,10,17.5,17,1,2013,1996,0.530113134599082,0.474423970776688,1381.68448703736,8035.43920756477,4708.56184730107,"1st Qu."
"SUL90",1993,87,0.84940951960221,0.123752902007613,13,4,3,0,2009,1990,0.232282465940774,0.605018117016135,1376.02726052268,8042.11294772544,4709.07010412406,"3rd Qu."
"SUL90",1994,78,0.560341084010706,0.0523005314000137,14,5,4,0,2009,1990,0.827943803257389,0.548473229788895,1375.29963299119,8043.24481307487,4709.27222303303,"3rd Qu."
"SUL90",1995,65,-0.515653993717401,0.0858158947443422,16,6,5,0,2009,1990,0.827943803257389,0.567773914673784,1373.42747715476,8045.54410336888,4709.48579026182,"mean"
"SUL90",1996,60,-0.108699040324396,0.0689696584751869,18,7,6,0,2009,1990,0.530113134599082,0.55578872915357,1372.39183834618,8045.14624189425,4708.76904012022,"mean"
"SUL90",1997,59,-0.175840391307231,0.0373941608251369,18,8,7,0,2009,1990,0.232282465940774,0.605420346161415,1374.27707748951,8042.30017204287,4708.28862476619,"mean"
"SUL90",1998,85,0.636356178534518,0.0982844739522697,22,9,8,0,2009,1990,0.679028468928235,0.577769224860222,1375.49059316501,8041.8168964292,4708.65374479711,"3rd Qu."
"SUL90",1999,70,0.100960777400345,0.0414022839416217,18,10,9,0,2009,1990,-1.10795554302161,0.493491692324208,1377.60052476942,8044.43513841129,4711.01783159035,"mean"
"SUL90",2000,64,0.372734096478784,0.0356426934273316,19,11,10,0,2009,1990,0.679028468928235,0.550954041568641,1376.24182360216,8044.08110852552,4710.16146606384,"mean"
"SUL90",2001,82,0.955832192608273,0.137041103051218,17,12,11,0,2009,1990,0.232282465940774,0.585179899324701,1375.57958114992,8044.35569991927,4709.9676405346,"3rd Qu."
"SUL90",2002,67,1.41315667987414,0.132698738502474,14,13,12,0,2009,1990,-0.065548202717533,0.540043264762214,1375.85519393201,8042.30925321684,4709.08222357443,"3rd Qu."
"SUL90",2003,55,0.491650816599794,0.219612596585848,15,14,13,0,2009,1990,0.679028468928235,0.577054823158061,1375.79011371673,8042.52252576691,4709.15631974182,"3rd Qu."
"SUL90",2004,80,0.372916974271933,0.0552520289170478,15,15,14,0,2009,1990,-0.065548202717533,0.528842044710823,1376.39013069365,8044.12183300488,4710.25598184926,"mean"
"SUL90",2005,67,0.435777470187621,0.0616162205393914,11,16,15,0,2009,1990,0.232282465940774,0.560731966977881,1376.21553403407,8043.40499801236,4709.81026602322,"mean"
"SUL90",2006,94,0.864593879865053,0.211511458300197,11,17,16,0,2009,1990,0.679028468928235,0.572159481331475,1375.9445051105,8043.57895316744,4709.76172913897,"3rd Qu."
"SUL90",2007,61,0.0614308472856418,0.0535807711132368,11,18,17,0,2009,1990,0.381197800269928,0.500837089725082,1377.31301364163,8043.06830809012,4710.19066086587,"mean"
"SUL90",2008,72,-0.307996121084711,0.0780508725959714,10,19,18,0,2009,1990,0.679028468928235,0.481485402340987,1376.97581675031,8042.94762421974,4709.96172048503,"mean"
"SUL90",2009,25,-1.74091666555176,0.0228787304038634,9,19.5,19,1,2009,1990,0.381197800269928,0.552268064890513,1375.37050438719,8046.82241903416,4711.09646171067,"1st Qu."
"SUL94",1997,41,-0.907830062422913,0.0208883651054465,18,4,3,0,2006,1994,0.232282465940774,0.423453581110651,1379.74616260494,8040.74889242263,4710.24752751379,"mean"
"SUL94",1998,64,-0.147929609918495,0.0661013008281265,22,5,4,0,2006,1994,0.679028468928235,0.588750782713584,1374.4302225735,8044.04166210995,4709.23594234173,"mean"
"SUL94",1999,77,0.486325804145904,0.0541716302580193,18,6,5,0,2006,1994,-1.10795554302161,0.558875767684177,1376.35688003736,8045.50592049879,4710.93140026807,"3rd Qu."
"SUL94",2000,74,0.633501700071231,0.0537184454821725,19,7,6,0,2006,1994,0.679028468928235,0.575654345993267,1374.59955654771,8042.46108167556,4708.53031911164,"3rd Qu."
"SUL94",2001,75,0.944341189215576,0.136220011276042,17,8,7,0,2006,1994,0.232282465940774,0.591576393538764,1374.40977829659,8043.54423256367,4708.97700543013,"3rd Qu."
"SUL94",2002,72,1.0050170839272,0.122798017701379,14,9,8,0,2006,1994,-0.065548202717533,0.575545007106372,1374.79627451412,8043.77053316429,4709.2834038392,"3rd Qu."
"SUL94",2003,60,0.518057747224326,0.221584942500776,15,10,9,0,2006,1994,0.679028468928235,0.543644541401594,1375.58291412755,8045.03963239212,4710.31127325983,"3rd Qu."
