"","ego","ego.birth","ego.mom","ego.survived.frist.year","mom.degree","mom.strength","mom.eigen","mom.obs","matSize","id","HRO2","LifetimeE","LifetimeN","centroid","year","matriline"
"FEA871","LPW93",1993,"FEA87",1,0.0599047323393199,-0.409209974873171,-0.803216785097308,43,-0.656163827696303,"FEA87",0.414904393646753,0.882750774453145,0.83292004501458,4707.80585586324,1993,"151"
"FEA872","LPW94",1994,"FEA87",0,0.367249289646886,-0.125087270924154,-0.870632561350092,42,-0.588856564020024,"FEA87",0.47003509483815,0.808418412629308,0.862994949541442,4707.72025965206,1994,"151"
"FEA873","LPW95",1995,"FEA87",1,-0.520634987019417,-0.553085296701856,-0.822016975134887,44,-0.454242036667467,"FEA87",0.344907209975305,0.946285384823257,0.837293687606998,4708.04698584325,1995,"151"
"FEA874","LPW97",1997,"FEA87",1,-0.0766928486862653,-0.243880479324362,-0.922360384652928,29,-0.31962750931491,"FEA87",0.292119332164587,0.990358338151437,0.576391194519796,4706.74041280269,1997,"151"
"FEA875","LPW98",1998,"FEA87",0,0.572145661185264,-0.0544821245793345,-0.745455097457095,45,-0.050398454609796,"FEA87",0.544568815249437,0.954466376271013,0.785644012506504,4707.78647428023,1998,"151"
"FEA876","LPW99",1999,"FEA87",0,0.298950499134094,0.15993764362283,-0.925013626846436,44,-0.31962750931491,"FEA87",0.250969851222079,1.05150380356597,0.873774232400022,4708.60958056233,1999,"151"
"CAF98","LTE02",2002,"CAF98",1,-1.47681805419851,-1.25499938636178,-1.03497338205042,19,-0.521549300343746,"CAF98",-3.36208511174786,-0.382343711935848,-2.7107034737347,4683.70294044745,2002,"130"
"BSY04","LUN09",2009,"BSY04",1,-0.349888010737436,-0.948222313618177,-0.685507646388395,20,2.30535577405995,"BSY04",0.00219598689959473,-0.35864547979839,-1.22506739796602,4692.07967674893,2009,"147"
"BSY041","LUN10",2010,"BSY04",0,-1.06702531112176,-1.66209822735045,-0.926223158545296,11,2.30535577405995,"BSY04",-0.719473512550823,-0.631165450556484,-1.87376767407731,4687.52775934791,2010,"147"
"FDL03","LUT10",2010,"FDL03",1,-0.179141034455454,0.428410839862002,1.92893996180574,36,-0.656163827696303,"FDL03",0.512564412969512,-1.10312080405232,0.538472621447978,4699.38812265947,2010,"137"
"FDL031","LUT12",2012,"FDL03",1,0.162352918108509,0.10016989629871,0.880989165524601,29,-0.858085618725138,"FDL03",0.895355029212533,-0.999277562187695,0.161587483452427,4697.63776136458,2012,"137"
"FDL032","LUT15",2015,"FDL03",0,1.63077691413355,1.49891403739153,1.84550256232549,37,-0.79077835504886,"FDL03",0.198995536222602,-0.997476470253323,0.402492579853989,4698.98913704954,2015,"137"
"FDL033","LUT16",2016,"FDL03",0,0.845340823236434,1.18054643325876,0.966030762597714,35,-1.19462193710653,"FDL03",0.836462251565261,-0.811652313124397,0.325036742517118,4699.19043666154,2016,"137"
"LUT08","LYR14",2014,"LUT08",1,-0.281589220224643,-0.635266973391088,0.325290774244201,19,-0.858085618725138,"LUT08",0.709949183015342,-1.09778436892294,0.414791829128247,4698.71568148238,2014,"137"
"LUT081","LYR16",2016,"LUT08",1,0.947789009005623,0.770970093153567,0.773509613353807,35,-1.19462193710653,"LUT08",0.620123670850403,-1.14176054638579,0.128018365383778,4696.96432031358,2016,"137"
"MDD13","MAB16",2016,"MDD13",0,-1.6134156352241,-1.89333567568859,-1.07587178036186,14,-1.12731467343025,"MDD13",-1.96704659305813,2.42473247197456,0.506108955250903,4711.24039096229,2016,"153"
"MDD131","MAB18",2018,"MDD13",0,0.0257553370829236,-0.266845802487132,0.623820123479206,41,-1.53115825548792,"MDD13",-0.799766648167944,2.19718400097826,0.449832548774224,4710.15000479747,2018,"153"
"PRC06","MAJ10",2010,"PRC06",1,-0.759680753814191,-0.758039326788552,-0.66394397627745,22,-0.386934772991189,"PRC06",0.0437422399185348,-0.528255649259246,-0.675727910655462,4694.56871494568,2010,"138"
"PRC061","MAJ12",2012,"PRC06",1,-0.315738615481039,-0.876506620485012,-0.701179159865561,35,-0.386934772991189,"PRC06",-0.0585047162320073,-0.79967142490844,-1.11886344023182,4691.16845300889,2012,"138"
"PRC062","MAJ13",2013,"PRC06",1,-0.58893377753221,-1.03604943446743,-0.510459959567065,24,-0.521549300343746,"PRC06",0.286138564020745,-0.463416931777535,-0.818133221264975,4693.99466817848,2013,"138"
"SME84","MAL93",1993,"SME84",1,1.22098417105679,2.19482648688367,1.81441031434153,33,-1.39654372813537,"SME84",0.532961133740521,-0.356018737460386,0.202882900392422,4700.0624195139,1993,"141"
"SME841","MAL95",1995,"SME84",1,1.08438659003121,0.956468677899604,1.74754583724041,37,-1.32923646445909,"SME84",0.838590282683455,-0.412013603123048,0.174195697938483,4699.711237724,1995,"141"
"SME842","MAL98",1998,"SME84",0,1.73322509990274,1.48940844404127,1.56385096402963,40,-1.19462193710653,"SME84",0.964296698349472,-0.437406661041595,0.348075669479806,4700.5955847499,1998,"141"
"VIP11","MAM16",2016,"VIP11",0,0.0940541275957162,-0.983848295160338,-0.534288208459236,37,0.218830600095318,"VIP11",0.65180862902399,0.480820448324358,0.646712035830336,4705.39513082193,2016,"147"
