"id","lifespan","censoring","strength","eigen","degree","matSize","LRS","LBS","sum_degree","sum_strength","sum_eigen","meanE","meanN","sumHRO","meanHRO"
"MNX89",16,1,0.42991512245481,-0.858452055492466,-0.623705865249244,-0.250557162808137,5,8,0.167019981075704,1.14555160460843,-0.599749279925119,1.43001860416401,0.675304239647586,0.344168226687311,-0.99417617318472
"MNX90",14,1,0.679349967660232,-0.811399700443109,-0.422684794209422,-0.224128825802928,3,5,0.0985257567487206,0.972702332293095,-0.593017464742134,1.40864794713119,0.661916890262088,0.317260523599252,-1.0619830558483
"MOC84",14,1,-1.00764475347012,-1.01381180288889,-0.75571970294704,-1.3022227112223,3,8,-0.769067751393072,-0.856470731661219,-0.84823250209889,1.91759584042586,0.434313688696197,-0.808432059172459,-1.674681081943
"MOO96",10,1,-1.15292096170364,-0.959618119744038,-0.605703978290454,-0.884837250933146,2,4,-0.600115331386512,-0.83099439963756,-0.807895030683804,2.06510853769887,0.162323306576131,-0.598447056157166,-1.40298870370775
"MRG03",12,1,-0.50303936302232,0.227539227896987,0.348396030525424,-0.983260023228406,1,4,0.340538682704063,-0.174672896159576,0.253639341655672,-0.352909823256632,-0.266895046287644,0.495065059690485,1.22235163003953
"MUS77",16,1,-2.26898715952734,-1.09192022424791,-2.22587380458157,0.0884546084310886,3,6,-1.37410006628143,-1.38763659003085,-0.892936944028305,NA,NA,NA,NA
"MUS85",17,1,0.385248779885557,-0.201602860952686,0.528414900113326,0.486520043047472,6,8,0.454695723249036,0.39052749413657,-0.116784968507419,-0.395542012486338,-1.90259712923501,0.127469000653769,-0.0127614903494403
"NAK89",11,1,-0.714917042476133,-0.607292063585023,-0.475190297839225,0.27026334058761,1,6,-0.422030348136355,-0.527101550845029,-0.552329743522999,-0.676195872957372,-1.74505854127806,-0.565210229296907,-0.448852624893468
"NEB01",1,1,-2.12341239927213,-1.06536554726565,-1.50579832622996,0.471209834023765,0,0,-1.32843725006344,-1.37837395245424,-0.890644813249634,NA,NA,NA,NA
"NET02",16,1,-0.52919873842114,-0.481416489278117,-0.147941709909791,1.63587930618434,1,12,0.589401031092103,0.291180029385843,-0.144123042343107,0.158907984942039,0.721149536896334,1.39395305923505,0.54069062781758
"NET99",11,1,-0.432693987358813,-0.594003268879227,-0.121653240065209,2.46153700710568,1,5,-0.100107493799532,-0.25667832302382,-0.499324061494439,-0.00139748452001281,0.645133248603564,0.368955661949593,0.79862736008328
"OAT87",6,1,-0.776515808617098,-1.04320788691807,-1.6138096479827,-0.409127184839391,0,1,-1.28734071546725,-1.18778544962917,-0.8836771500353,1.51724151461667,0.783239765590034,-1.49874771543653,-0.309412166834569
"OAT90",8,1,0.0981783754538896,-0.836934663455786,0.0423639522259916,-0.600504797635729,2,4,-0.465410023543445,-0.434302540591826,-0.75662704918176,0.969582940458137,0.852398534040161,-0.514804177191663,-0.194808104671976
"OAT94",11,1,0.196606632328859,-0.784968456910379,-0.00164066033993912,-0.804640917951826,1,7,-0.0316132694725483,0.10369219732001,-0.647676634899899,0.973620482858319,1.00273297413148,0.00276648163262515,-0.431758684694188
"OCH85",8,1,-0.337297044676231,-0.0544930394855556,0.114371500061152,-0.677055842754264,1,3,-1.22569591357296,-1.2647269220856,-0.803388922698091,-1.17046228106037,0.276141952976666,-1.50588672571961,-0.525294153200222
"OCH87",6,1,0.917497294540177,0.870945542924181,-1.95584550019972,-0.447402707398658,1,2,-1.33072039087434,-0.972211961518216,-0.553227640551736,NA,NA,NA,NA
"OCH90",16,1,1.08182068633233,0.809387173345414,0.983605470357018,-0.135730595130334,7,9,1.59398298788786,1.72626428766539,1.41574045319747,-0.667610990770913,-0.811320421539648,1.30583187647127,0.350350358332541
"OCH96",13,1,0.449297152477696,0.173573803101214,0.715634524484743,0.119075026478503,4,5,0.573419045415807,0.431280222264186,0.207057787965107,-0.594848099991019,-1.53830301022785,0.374044558358589,0.121880189208409
"OPA03",5,1,0.198693240221942,0.902834382576599,0.522414271127061,1.74706058599936,0,1,-0.832995694098257,-0.896745405998354,-0.374690128756338,-0.566745054696855,-0.249937714653659,-1.20744053312293,1.18845845561348
"OPA07",10,1,0.2096693278979,0.74558217581139,0.910954997987616,0.767845133858089,0,2,0.281177021620677,-0.0564645562435238,0.381882993725211,-0.563197791846215,0.0321811215467399,0.212330116138425,1.07175725870612
"ORC95",14,1,1.2896487246338,1.36804102191067,1.23879705471788,0.0472348149057263,1,5,1.59169984707696,1.67504185935972,1.87765433418328,-0.746594910384728,-0.0660179655443939,0.844367075096474,0.847137494620503
"ORC97",5,1,0.428481386705531,0.781079132842344,0.34239540153916,0.113971623470598,0,1,-0.867242806261749,-0.852882493570142,-0.406218919963308,-0.772018882716456,-0.0543741804380578,-1.05175294105767,0.320713860793573
"ORP92",8,1,1.35497858869391,1.31183147075045,0.966460816110554,-0.90670897810987,1,3,-0.113806338664929,0.0455039118880024,0.356228436653346,-0.672584016400164,-0.0371585576178941,-0.343793180601169,0.667080592556755
"OTA80",16,1,-1.57825770861721,-1.02538189391506,-1.52740059058051,0.119075026478503,3,9,-1.11610515464979,-1.12818749021875,-0.860818468355468,0.131355134630693,-4.05790891158462,-1.42661738193847,-3.45789021765421
"OVA97",5,1,-1.20935407316756,-0.904682744856684,-1.1217580711091,-0.217749572043053,1,1,-1.14578598519148,-1.16551930468329,-0.842750686623446,-0.508681847339148,-3.25377627444618,-1.40935621989025,-1.86448290525107
"OXA95",7,1,-1.05950427532434,-0.697336115011886,-0.533696430455293,0.0731443994073816,3,3,-0.801031722745664,-0.963151153020338,-0.71923816836922,-0.413868771148789,-2.08312091391837,-1.14876677503105,-0.657177954862117
"OXY05",12,1,-0.515780922159078,-0.466702802798432,-0.0584466147432332,1.71899186945589,2,5,0.0825437710724245,-0.182780101298556,-0.345612356065029,0.139467747630152,0.649946914901815,0.573880922883867,0.726180639987225
"OXY06",12,1,0.0791551981560544,0.111327139382468,0.751638298402324,1.24437538972097,0,6,0.596250453524802,0.195766128422154,0.153328083824977,0.0255877619874917,0.532709786550446,0.659822995453635,0.986067439460136
"PAN00",14,1,-0.583496509440055,-0.415416395087257,0.207381249348233,-0.192232557003543,2,7,0.577985327037606,0.00847288385582139,-0.182854453840844,-0.148092070188092,0.549511795061582,0.874857191761308,0.930956943091512
"PAP87",17,1,1.10558446720382,1.17516028209795,1.14347937120532,-0.989639276988283,3,8,1.29032526003824,1.29814795363541,1.46467894001619,-0.429654820723522,-0.0894225890024713,0.888376587128127,0.96812269997481
"PEN90",15,1,0.0515701941069152,-0.785104855865528,0.092215331496488,-0.7536068878728,3,8,0.64647955136459,0.650947125533299,-0.538447177024317,0.992179187218451,0.992709476175077,0.730727713349737,-0.489490599489687
"PET83",10,1,-1.89384454602373,-0.826435990038324,-1.21776813488932,-0.677055842754264,1,4,-1.31017212357624,-1.363766998473,-0.870021034153357,NA,NA,NA,NA
"PET85",12,1,1.34850647110945,1.22726790912767,0.630425592879802,-0.141198526924517,2,7,-0.241662224075298,0.0430330627064818,0.312432594027399,-0.577575126532248,-0.38394019321945,-0.57193359852186,0.645260505407435
"PHL96",4,1,0.676730757546749,0.0471875313553638,1.42850924805283,0.586036401701568,0,1,-0.90148991842524,-1.00285097021498,-0.695436946562542,-0.11143915992174,0.460866644186504,-1.22704955256043,0.891972395292144
"PIB83",10,1,-1.65205608190454,-1.07173179870273,-1.7938285175706,-1.51911733905815,1,4,-1.34670237655063,-1.3483824708982,-0.891194331546296,2.2760822842834,-0.122410216455127,-1.55731745113801,-2.08054715372646
"PID89",10,1,0.562094355349476,0.377424262066102,0.955959715384592,0.222418937388525,1,5,0.304008429729672,0.122928371293439,0.127655510989621,-0.329387849555228,0.281094625660545,-0.0565812757073507,0.937853201513139
"PID95",15,1,-0.199696322671825,-0.294462617214812,0.451263956004227,0.274364289433243,4,9,1.12137284003168,0.584698358613499,0.0818001780704439,-0.229647611248488,0.490795004698671,1.11301933680285,0.943313505467828
"PID97",15,1,-0.38545600228239,-0.485358774813132,0.194687611108061,0.0354577310413328,2,9,0.730955761367869,0.28945452612928,-0.202094230907529,-0.030217749299441,0.602241356117431,1.27543284765929,0.777567456453515
"PLO82",19,1,-0.599797499023114,-0.924861517911248,-0.350077183475634,-0.294300617161588,5,14,-0.102390634610431,-0.236238207673194,-0.741083064719577,0.719498562638001,1.03966460360549,0.0727405637586634,-0.196647603396075
"POL79",16,1,-1.26218820586725,-1.02836726608716,-1.2537719088069,-0.141198526924517,0,8,-1.10012316897349,-1.10161878407007,-0.86844299159239,0.605007567669923,1.1713542980539,-1.32187737924827,-0.54181315595051
"POM97",17,1,0.378567775707711,-0.750091844694284,-0.471289888998155,-0.360644856264321,0,11,0.422731751896443,1.27819558165534,-0.438445983461346,1.47154259510458,0.771515951777382,0.743921807038505,-1.2139902842748
"PRA91",5,1,-1.07454088441221,-0.980364343927509,-0.785722847878355,-0.498436737477685,0,0,-1.0818580424863,-1.13978560526044,-0.862348604089196,1.29835751268304,0.889457589754111,-1.34327031107594,-0.865271761136065
"PTN93",11,1,0.177887912951108,-0.721418713114918,0.170377370599612,0.539255207462464,1,4,0.0665617853961283,0.0929728774412678,-0.598307594770048,0.639846119225398,0.873004866161188,0.170032063488561,0.130249284817602
"RAP03",9,1,0.742727330197363,1.0823049735247,0.957888488987318,-0.272428889984862,0,2,0.0939594751269217,0.0133203805389554,0.425879472023106,-0.702384157772092,-0.298555109818419,-0.0844382293178125,0.817512100975221
"RAP06",10,1,0.477595030959575,0.762155165931955,0.843447921892153,-0.581367036356095,1,5,0.246929909457185,0.0799161559385553,0.393327293582548,-0.615208008941038,-0.601794224419636,0.166706561512895,0.899301567947373
"RAP97",6,1,1.48471701086699,1.46010955875096,1.26649226542372,-0.543091513796828,0,1,-0.460843741921646,-0.402497935502927,-0.00924755479112644,-0.807885846517547,-0.348213015481822,-0.782803796459002,0.74309221894414
"RBY02",14,1,1.09037086817501,1.47079778930891,1.38050421616274,1.24309953896899,0,7,1.47069338409929,1.286531814646,1.77090288545254,-0.606979154932008,-0.0699221829378808,1.16199382322555,1.06672824820916
"RED82",11,1,-1.63057993237204,-1.00684838342205,-1.36178323055964,0.0884546084310886,4,5,-1.31930468681984,-1.34701598546273,-0.885593763582711,-0.294590454165935,-3.46665564023239,-1.61337782169086,-3.77579953065949
"RHY88",7,1,0.852250329554265,-0.108382917661139,0.276388482690264,-0.523953752517194,2,4,-0.711989231120586,-0.563468412473189,-0.550800349231178,-0.725559565455112,-0.810215878289171,-1.06323515747593,0.204974022451621
"RPP03",6,1,0.345655756589391,1.50660045983979,-0.00264076517098382,1.69602655592033,0,4,-0.782766596258469,-0.692402904123314,0.00680434075782912,-1.34727054701981,0.3734477659451,-0.873346531709241,0.058594481802504
"RUF00",14,1,0.68148677687378,1.87486061133456,-0.00264076517098382,1.40258088296595,5,9,0.418165470274644,0.974333864238396,2.18943473119886,-1.34378401761855,0.382158164506414,0.57362242987671,0.102841659735239
"RUM01",12,1,1.07790872123139,2.26394073075504,0.460007729669923,1.44340810702916,1,5,0.411316047841946,0.831253481888238,2.01140825202586,-1.25061389198348,0.335239164012047,0.410227305600718,0.231295963063063
"SAF80",19,1,0.788563704282517,0.59187597426548,0.604922919688184,-0.361282781640306,7,9,0.125923446479514,0.238206788936649,0.275742831471627,-0.658165038907934,-0.558809927162654,-0.340784101459379,0.682246233089142
"SAM94",22,1,-0.17136499325477,0.404655226269412,0.139574141803458,-0.937329396157284,5,10,1.79946566086881,1.47029170857475,1.70682983973425,-1.16814093944901,0.231868532973726,1.71381964591899,0.312306008828127
"SAM95",4,1,1.61878964558663,1.03217779902683,1.98656774377533,-0.868433455550603,0,1,-0.830712553287357,-0.882968237240726,-0.525393341006355,-0.960089379927859,-0.0593940382534879,-1.25659512765192,0.445246785848509
"SCO76",18,1,-0.707367695737626,-0.434148873366026,0.510413013154536,-1.02153554578767,7,11,-1.01793009978111,-1.17898593098204,-0.778532364284555,-0.68871117371492,-1.27907433162371,-1.26553808870036,0.310030269932954
"SEM95",19,1,-0.112287257154984,-0.854332583683714,-0.389681334784972,-1.10934409754129,1,9,0.751504028665965,1.10401671927234,-0.530696238356229,1.48462206680028,0.641070078765639,1.01962227510508,-0.999716783885544
