"","id","lifespan","sum_degree","sum_strength","sum_eigen","mean_mat","mean_matSize","mean_HRO","mean_N","mean_E","matriline","LRS","LBS","mean.grp.size","matSize"
"125","COY75",6,577,70.1177669416472,0.501059539531855,2.25,75,0.46040835499698,8012.82053478935,1363.650683001,"103",2,2,7.9327731092437,2.66666666666667
"126","CRA81",5,271,55.9064022945742,0.413446544296946,2,74,0.490905527517852,8042.5744459093,1379.33796754198,"154",0,1,11.7903225806452,3.5
"127","CRB95",16,593,75.9334123487014,0.374329653801002,2.69230769230769,74.75,0.455092637974815,8037.86545138486,1383.29353883948,"158",2,8,10.8340248962656,10.7777777777778
"128","CRB97",9,230,35.388255484448,0.168480612061068,2.2,74,0.482062466525462,8040.41591915626,1381.58838763781,"158",0,1,13.5263157894737,18.5
"129","CRO90",9,672,136.425595073295,5.13055719334679,15.8571428571429,73.2,0.668067212426396,8035.59832708472,1362.71184111451,"138",3,4,22.8954545454545,47.8
"130","CROTT",16,1551,596.706900109899,6.01931441560266,6.75,75,0.670421792139243,8034.44894989539,1362.57938248164,"138",5,10,NA,23.3636363636364
"131","CRT71",8,1091,475.371642242885,4.38608309833922,6,75,0.672157300980786,8033.21295699167,1363.16040339016,"138",2,5,NA,42.8333333333333
"132","CRT74",12,1668,351.385279486808,5.72622295594387,9.11111111111111,75,0.655336820391548,8032.12943444211,1362.79175571869,"138",3,5,NA,44
"133","CRT76",17,2549,616.010939957095,9.57473586403117,11.9285714285714,74.8333333333333,0.619884007615025,8031.87143954572,1361.4047990124,"138",4,10,NA,24.8181818181818
"134","CSK98",7,273,44.9421309947937,0.443108027941573,26.4,69.8,0.617453169325953,8043.2823793804,1371.18190421185,"144",0,2,10.5189873417722,63.6666666666667
"135","CUC84",13,1479,417.969352459232,9.0006310400453,13.8181818181818,73.3333333333333,0.620476581478025,8035.47460247182,1362.60619246598,"140",0,5,NA,32.3333333333333
"136","CUC91",16,1435,252.933079730776,9.58910144560877,14.7857142857143,74.3,0.686106646091844,8034.80520486704,1362.71953310907,"140",4,8,25.5789473684211,28.8888888888889
"137","CUR78",14,2051,520.033440624458,8.65561221481852,15.25,74,0.63224012088472,8036.07529841869,1363.42891652687,"143",5,8,NA,51.7777777777778
"138","DAN90",15,1019,151.512906798493,1.46943282936771,25.0769230769231,70.5384615384615,0.634137909165365,8043.64473679802,1371.08584673142,"144",2,10,12.3870292887029,38.1818181818182
"139","DAN95",23,1678,249.414035894875,3.7311402620718,17.8571428571429,71.4736842105263,0.669730718748264,8042.579095876,1370.12529517358,"144",0,0,12.7327080890973,0
"140","DEC79",4,53,7.87507300608083,0.0288529600699599,2,74,0.206381696872299,8004.66998744756,1362.41855449629,"103",0,1,8.91666666666667,1.5
"141","DIC94",17,1043,136.181786045243,1.6203579763958,47.9230769230769,70.6153846153846,0.656857291719389,8043.35782398523,1369.44685138686,"147",7,10,11.0299401197605,70
"142","DIC95",21,1537,207.241209473887,3.53040139633238,45.3157894736842,69.4210526315789,0.687862082807451,8042.23916747203,1367.70324277542,"147",3,14,11.8968253968254,56.6
"143","DIC96",3,46,6.06869831594898,0.0508449681609146,34,68,0.607692635563927,8045.41511372981,1370.27463580373,"147",0,1,12.0833333333333,241
"144","DOC94",15,859,125.137037594728,1.48616476045107,47.1666666666667,70.8333333333333,0.654665643114373,8043.05209628289,1368.10452710326,"147",4,9,10.5801886792453,79.4
"145","DOC96",16,931,142.162487303997,1.72372241772024,49.2857142857143,70.1428571428571,0.662731338333276,8042.88288629378,1368.75886964512,"147",5,8,11.563071297989,74.2222222222222
"146","DOC97",4,152,20.4246066650698,0.212943656875054,39,73,0.647685567477261,8042.48939148412,1370.52564230004,"147",0,1,15.125,232.5
"147","DOR78",13,1263,180.920320020731,1.88473157350058,22.3,73,0.543809428487056,8017.86058291245,1362.67050888953,"132",2,9,11.2252747252747,29.1
"148","DOT02",12,547,96.8342620292251,0.785896345013953,8,73.8,0.535162291633061,8041.3766262648,1377.34496887452,"151",1,4,14.8051948051948,19.6
"149","EBO90",14,1271,245.843287148895,9.18728746591207,32.25,72.2727272727273,0.680522691151045,8036.331122227,1362.87038535486,"147",4,7,NA,83.125
"150","EGR91",14,898,110.394389631091,3.25827562959574,30.5454545454545,72,0.669246311307181,8031.71099984497,1362.40695307073,"143",3,8,21.8476821192053,386.666666666667
"151","EGR96",6,171,23.4359777521405,0.276826036300394,33.5,70.5,0.621950631264682,8027.72615922094,1363.16214652308,"143",0,2,24.5277777777778,133
"152","EID03",15,1126,167.380451717681,6.30308998912697,2,75,0.686540905539523,8032.94329368125,1362.88625944898,"141",1,7,20.5631469979296,3.375
"153","EIF81",12,693,104.730489064701,0.65289014520162,20.25,72.5714285714286,0.316382962031798,8006.58451760957,1362.04795968494,"130",3,5,6.54205607476636,56.8333333333333
"154","ELG68",14,1370,358.721899275375,2.49752443766984,9.875,74.5,0.565472315545562,8019.85415275742,1362.72661752162,"106",5,8,NA,9.88888888888889
"155","ELG71",12,1244,246.334371778853,1.51779382600888,9.5,73.8333333333333,0.503853692351902,8016.92624123506,1362.90296770978,"106",3,7,NA,11.375
"156","EOL86",6,227,36.5210188311112,0.150903626474751,28.3333333333333,71.6666666666667,0.203784932468065,8000.81168649893,1371.29573059602,"132",0,2,4.19512195121951,65.3333333333333
"157","FAG79",10,1310,302.681765999416,5.29959957294724,9.875,74.2857142857143,0.622310997668771,8034.87814369275,1363.4215640307,"147",4,4,19.5020408163265,115.4
"158","FAN88",12,1061,224.425609566744,5.99590274208189,21.7,73.4,0.657405804717949,8034.58937524226,1363.10631526865,"130",4,6,NA,58.7142857142857
"159","FAN90",18,1665,271.382128152319,10.1606579639504,18.2666666666667,73.3846153846154,0.692364483573478,8036.37291559393,1363.62893227497,"130",8,14,NA,56.6666666666667
"160","FAN93",12,956,169.826851564035,5.83704553597892,18.3,73.125,0.686072413524039,8035.38695650805,1363.06825417127,"130",1,6,22.3929618768328,65.2857142857143
