"","id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","lastSeen","matSize","HRO2","LifetimeE","LifetimeN","centroid","sex","matriline"
"3862","RUB12",2018,-0.140314810385352,-0.199402607849329,2.1103321845004,0,7,6,0,NA,2012,2018,0.80773443818857,0.558166038054374,-0.732977413953854,-0.0608883251620436,4698.49914531312,1,"130"
"3863","RUF00",2003,-0.242103448329798,-0.440624480989688,-0.121878807502603,36,4,3,0,2014,2000,2014,0.80773443818857,0.374892893469455,-0.99230555855749,0.835823237112242,4701.89007491691,1,"143"
"3864","RUF00",2004,-0.628900272518695,-0.121759774593715,1.8250462710549,39,5,4,0,2014,2000,2014,0.264183580170513,0.0986431863803137,-1.46360549162241,0.391948818536769,4697.93068599854,1,"143"
"3865","RUF00",2005,-0.303176631096466,-0.123618150511556,1.6333048358716,36,6,5,0,2014,2000,2014,-1.36646899388366,-0.301550412703039,-1.45064484554148,0.631654079332812,4699.15010405323,1,"143"
"3866","RUF00",2006,-0.119957082796462,-0.194563841267631,1.40026350184822,38,7,6,0,2014,2000,2014,0.264183580170513,0.445343903847096,-1.22225627389826,0.452166842738765,4699.14262547871,1,"143"
"3867","RUF00",2007,-0.323534358685355,-0.198645971759473,1.18380525590434,46,8,7,0,2014,2000,2014,0.264183580170513,-0.134084452823403,-1.48711830720604,0.376483253405155,4697.76575852683,1,"143"
"3868","RUF00",2008,-0.812119820818698,-0.227776664250933,2.05792200068314,47,9,8,0,2014,2000,2014,-0.8229181358656,0.117872062277525,-1.39137636514366,0.503584851229778,4698.75036491125,1,"143"
"3869","RUF00",2009,-0.954623913940923,-0.33224933343436,1.91528725238372,41,10,9,0,2014,2000,2014,-0.8229181358656,-0.554604244164615,-1.65744806810343,0.742547060829429,4698.90484076015,1,"143"
"3870","RUF00",2010,-0.913908458763145,-0.360311873061795,1.63797243450652,39,11,10,0,2014,2000,2014,-1.09469356487463,0.483128597257342,-1.23197258082777,0.368527126494643,4698.69738159139,1,"143"
"3871","RUF00",2011,-1.25998982777426,-0.342765533230146,1.6374856416878,36,12,11,0,2014,2000,2014,-1.09469356487463,-0.781731198153787,-1.65067997415327,0.716812378307688,4698.80495969679,1,"143"
"3872","RUF00",2012,-0.832477548407588,-0.19105781037012,1.8901350040865,34,13,12,0,2014,2000,2014,-0.279367277847543,-0.10631662770982,-1.64924884566273,0.484577635543297,4697.67674889688,1,"143"
"3873","RUF00",2013,-0.791762093229809,-0.193330810662363,2.18890205048233,41,14,13,0,2014,2000,2014,0.264183580170513,-0.127187342659054,-1.46905242541056,0.560706821342446,4698.73376067795,1,"143"
"3874","RUF02",2005,-0.445680724218691,-0.151212005925688,1.25201657762662,36,4,3,0,NA,2002,2018,-1.36646899388366,-0.341675295631668,-1.1824723698125,0.916220661625227,4701.55922503791,1,"143"
"3875","RUF02",2006,-0.628900272518695,-0.190429169321572,1.50480789160292,38,5,4,0,NA,2002,2018,0.264183580170513,0.172603475673997,-1.48795476250734,0.39815252801896,4697.86835561286,1,"143"
"3876","RUF02",2007,-0.384607541452023,-0.225407949012272,1.16012083964958,46,6,5,0,NA,2002,2018,0.264183580170513,-0.0319945888541128,-1.47474988356211,0.507507045550697,4698.4523953106,1,"143"
"3877","RUF02",2008,-0.710331182874252,-0.239674471083162,1.93294684366531,47,7,6,0,NA,2002,2018,-0.8229181358656,-0.337736869417366,-1.613382004733,0.535876345818466,4698.06358512967,1,"143"
"3878","RUF02",2009,-1.11748573465204,-0.418539998945936,1.54350839243724,41,8,7,0,NA,2002,2018,-0.8229181358656,0.183607934633212,-1.40469808068051,0.361691975769436,4698.00704478566,1,"143"
"3879","RUF02",2010,-1.23963210018537,-0.331807577704049,1.94643495361417,39,9,8,0,NA,2002,2018,-1.09469356487463,-0.00827312946723166,-1.53521043824038,0.466536306525691,4698.02243152894,1,"143"
"3880","RUF02",2011,-1.23963210018537,-0.276649152846451,2.07407854697594,36,10,9,0,NA,2002,2018,-1.09469356487463,0.113177199232263,-1.34163241559504,0.701842105821411,4699.90736180661,1,"143"
"3881","RUF02",2012,-0.893550731174255,-0.205706255877765,1.8085246514374,34,11,10,0,NA,2002,2018,-0.279367277847543,0.0977755754690865,-1.45630432254213,0.471965570649621,4698.34905827146,1,"143"
"3882","RUF02",2013,-0.934266186352034,-0.32406953962465,1.55315070792747,41,12,11,0,NA,2002,2018,0.264183580170513,-0.287493378215683,-1.46493919213194,0.613524534857235,4699.00723532075,1,"143"
"3883","RUF02",2014,-1.07677027947426,-0.238560503535062,2.18890205048233,37,13,12,0,NA,2002,2018,-0.551142706856572,0.759075102463401,-1.2606685289876,0.362731292007666,4698.55994258952,1,"143"
"3884","RUF02",2015,-0.384607541452023,-0.220663214179549,1.12242290849996,30,14,13,0,NA,2002,2018,-0.8229181358656,0.0324913546664659,-1.52196663704378,0.551938937114532,4698.48969810466,1,"143"
"3885","RUF02",2016,-0.730688910463141,-0.209956664548021,0.549816029730141,20,15,14,0,NA,2002,2018,-0.551142706856572,-0.439295618410688,-1.53943197822677,0.670521153272469,4699.00212694269,1,"143"
"3886","RUF02",2017,-1.07677027947426,-0.163611493969642,2.01499085075455,10,16,15,0,NA,2002,2018,-0.8229181358656,-0.180022573340718,-1.46427711353908,0.522612600490074,4698.56596685629,1,"143"
"3887","RUF02",2018,-0.669615727696473,-0.24183815372135,1.5087953844641,0,17,16,0,NA,2002,2018,-0.551142706856572,-0.573982802553762,-1.54355538487145,0.367739163262113,4697.50841268825,1,"143"
"3888","RUF09",2012,-1.21927437259648,-0.397579625875756,0.793282511650352,34,4,3,0,NA,2009,2018,-0.279367277847543,0.267434228047378,-1.44080458157749,0.66868250845717,4699.36828636381,1,"143"
"3889","RUF09",2013,-1.15820118982982,-0.262143741421761,1.91303624938662,41,5,4,0,NA,2009,2018,0.264183580170513,-0.141518698498789,-1.42764509920697,0.689120065704745,4699.51810514447,1,"143"
"3890","RUF09",2014,-1.34142073812982,-0.441665475430313,1.1811764163346,37,6,5,0,NA,2009,2018,-0.551142706856572,0.0716463465974947,-1.45047213155392,0.637153465701363,4699.17760624163,1,"143"
"3891","RUF09",2015,-0.852835275996477,-0.407948266523845,0.379314733448838,30,7,6,0,NA,2009,2018,-0.8229181358656,-0.519299306631138,-1.58849964982703,0.398081337990932,4697.48558004865,1,"143"
"3892","RUF09",2016,-1.25998982777426,-0.419039363555512,-0.0967495393170683,20,8,7,0,NA,2009,2018,-0.551142706856572,-0.217915831164339,-1.68643143054793,0.6268743239299,4698.22994433071,1,"143"
"3893","RUF09",2017,-1.25998982777426,-0.392568973213704,0.927311843603509,10,9,8,0,NA,2009,2018,-0.8229181358656,-0.351790826789774,-1.55648221925898,0.422495962463201,4697.72654013862,1,"143"
"3894","RUM01",2004,-0.445680724218691,-0.267783181784967,0.87326397113914,39,4,3,0,2013,2001,2013,0.264183580170513,0.468133549804977,-1.46928621531538,0.462219059502582,4698.25210331709,1,"143"
"3895","RUM01",2005,-0.0385261724409052,-0.0673618526469676,1.79995151075776,36,5,4,0,2013,2001,2013,-1.36646899388366,0.17311163416905,-1.29242882083939,0.679604845241504,4699.98595919129,1,"143"
"3896","RUM01",2006,0.00218928273687343,-0.0079891801350647,2.18890205048233,38,6,5,0,2013,2001,2013,0.264183580170513,0.437149222998784,-1.27757126792826,0.605750914745974,4699.68195266639,1,"143"
"3897","RUM01",2007,0.165051103447988,-0.147343644698324,1.39006190404696,46,7,6,0,2013,2001,2013,0.264183580170513,-0.131434034497049,-1.35121932296688,0.545589839699,4699.10815184801,1,"143"
"3898","RUM01",2008,-0.547469362163138,-0.291369918044233,1.63381380820619,47,8,7,0,2013,2001,2013,-0.8229181358656,0.317714191919314,-1.27728755316731,0.426490301731604,4698.80797089294,1,"143"
"3899","RUM01",2009,-0.77140436564092,-0.305721282557376,2.1410386670294,41,9,8,0,2013,2001,2013,-0.8229181358656,-0.0163843174482259,-1.2290075863309,0.66152400182341,4700.13892371193,1,"143"
"3900","RUM01",2010,-1.21927437259648,-0.309358947325325,2.05340602600327,39,10,9,0,2013,2001,2013,-1.09469356487463,0.323097691775175,-1.3298015174451,0.458389115809331,4698.76394521939,1,"143"
"3901","RUM01",2011,-0.791762093229809,-0.341403704282611,1.55685865299503,36,11,10,0,2013,2001,2013,-1.09469356487463,0.302820748810053,-1.4941756339825,0.442966827949746,4698.06345524259,1,"143"
"3902","RUM01",2012,-0.934266186352034,-0.184030115644924,1.87860502449463,34,12,11,0,2013,2001,2013,-0.279367277847543,0.369078352978301,-1.23223004809645,0.339682015862924,4698.55559485808,1,"143"
"3903","RUM01",2013,-0.364249813863134,-0.297401191006178,1.48159055663538,41,12.5,12,1,2013,2001,2013,0.264183580170513,0.841563406965398,-0.81605842473281,0.270233872012411,4699.79951548937,1,"143"
"3904","RUM09",2012,-0.364249813863134,-0.396581313370865,0.523038912764953,34,4,3,0,NA,2009,2018,-0.279367277847543,0.526085122802255,-1.041037852442,0.578339883899616,4700.44781363819,1,"143"
"3905","RUM09",2013,-0.160672537974241,-0.326047656847944,1.2482597597928,41,5,4,0,NA,2009,2018,0.264183580170513,0.572111368157955,-1.14040239217683,0.123630251630169,4697.85020948822,1,"143"
"3906","RUM09",2014,-0.75104663805203,-0.409921107331395,1.04547383717368,37,6,5,0,NA,2009,2018,-0.551142706856572,0.525505326789527,-1.42971136499878,0.504021076972124,4698.60668505168,1,"143"
"3907","RUM09",2015,0.124335648270209,-0.200217243943183,1.2138888404021,30,7,6,0,NA,2009,2018,-0.8229181358656,0.650810330175114,-1.31076276189387,0.215684390509433,4697.65159677228,1,"143"
"3908","RUM09",2016,-0.343892086274245,-0.255557245097848,0.626939556076336,20,8,7,0,NA,2009,2018,-0.551142706856572,0.740830497383964,-1.21883024874562,0.0801968172943221,4697.33988442815,1,"143"
"3909","RUM09",2017,-0.282818903507577,-0.263624239153654,1.15093925515151,10,9,8,0,NA,2009,2018,-0.8229181358656,0.444813741994871,-1.29289115926994,0.193395688449574,4697.61077007717,1,"143"
"3910","RUM09",2018,-0.852835275996477,-0.336087611291664,1.20939897957248,0,10,9,0,NA,2009,2018,-0.551142706856572,-0.26029597526985,-1.61571506278351,0.440624635434211,4697.58973987518,1,"143"
"3911","SAF80",1983,0.796140658703556,0.636425248745731,1.04877150820665,9,4,3,0,1999,1980,1999,NA,0.499127147479687,-0.65912273739138,-0.130541362670987,4698.44004428117,1,"138"
"3912","SAF80",1984,1.22365293807023,0.13693609805914,0.299784786553848,11,5,4,0,1999,1980,1999,NA,0.542060059911618,-0.466776797221572,-0.590337844217413,4696.92714564403,1,"138"
"3913","SAF80",1985,1.36615703119246,0.431569726535782,0.762147770971937,13,6,5,0,1999,1980,1999,NA,0.270310971067318,-0.957339837898623,-0.621857084929792,4694.90740072573,1,"138"
"3914","SAF80",1986,1.63080748984802,0.308236994179292,0.409996080260612,13,7,6,0,1999,1980,1999,0.535959009179542,0.377683386454027,-0.630450867461075,-0.658551811769026,4695.97161568413,1,"138"
"3915","SAF80",1987,1.56973430708135,0.637325945556612,0.635763615533697,13,8,7,0,1999,1980,1999,0.80773443818857,0.413182521979401,-0.697476227542178,-0.777787684864683,4695.13463095517,1,"138"
"3916","SAF80",1988,1.44758794154801,1.02761284475822,0.940356329932374,13,9,8,0,1999,1980,1999,NA,0.348928047142833,-0.594944032893727,-0.29215137909669,4697.89525205004,1,"138"
"3917","SAF80",1989,2.0379620416258,0.890131791180466,0.707285835545185,13,10,9,0,1999,1980,1999,0.80773443818857,0.239288994535955,-0.630683664765317,-0.538425892339083,4696.55712504701,1,"138"
"3918","SAF80",1990,1.77331158297024,1.15088477970597,1.11162771258365,14,11,10,0,1999,1980,1999,NA,0.679939607733623,-0.471464584951304,-0.346661846825537,4698.09882005831,1,"138"
"3919","SAF80",1991,1.99724658644802,1.40469937477119,1.58190447895659,16,12,11,0,1999,1980,1999,0.80773443818857,0.204109134759262,-0.864164053455341,-0.833478278141293,4694.22877087517,1,"138"
"3920","SAF80",1992,0.592563382814663,0.5329298198905,0.260826666528925,18,13,12,0,1999,1980,1999,NA,-0.0149798271950838,-0.407920625754211,-0.842834378203178,4695.9184462187,1,"138"
"3921","SAF80",1993,0.429701562103549,0.018733167306317,1.08463432227586,12,14,13,0,1999,1980,1999,-0.551142706856572,0.55757006455334,-0.832101334403041,-0.296003459032295,4696.97440718026,1,"138"
"3922","SAF80",1994,0.124335648270209,-0.147510579906272,0.520874408444724,14,15,14,0,1999,1980,1999,0.80773443818857,1.07662844343853,-0.795092346864614,-0.365062126089015,4696.77806294861,1,"138"
"3923","SAF80",1995,-0.282818903507577,-0.351650220523295,0.404846634281696,12,16,15,0,1999,1980,1999,0.535959009179542,0.841584784079935,-0.587092974137418,-0.552969460982951,4696.65193020628,1,"138"
"3924","SAF80",1996,-0.099599355207573,-0.285029688623669,0.717453571064459,15,17,16,0,1999,1980,1999,0.80773443818857,0.758424700124894,-0.653639867208345,-0.408519267275306,4697.1039492057,1,"138"
"3925","SAF80",1997,-0.649258000107584,-0.302963172861971,0.0933071075619825,16,18,17,0,1999,1980,1999,NA,0.332205805000213,-0.88902099225859,-0.62176832498003,4695.1676885224,1,"138"
"3926","SAF80",1998,0.266839741392434,-0.00804995625488074,1.47848470286523,20,19,18,0,1999,1980,1999,NA,0.583607527658948,-0.969787532947739,-0.337128325610466,4696.24995900933,1,"138"
"3927","SAFIO",2003,-0.812119820818698,-0.646413385518116,-0.545156936188386,0,4,3,0,NA,2000,2004,NA,0.985753643764946,-0.0355519918519076,-0.519048763230809,4698.91533081965,1,"184"
